experiment,calibrator,position,operating_point,threshold,auc,pr_auc,brier,log_loss,ece_fixed,ece_adaptive,calibration_slope,calibration_intercept,sensitivity,specificity,tn,fp,fn,tp
stretch_nhe,isotonic,post_ensemble,C_calibrated_half,0.5,0.9023973727422003,0.8246051291938223,0.1836220386480167,1.8261133832820904,0.23197329959612983,0.2319733654839802,0.3373229003954814,-3.874341748701055,0.9950738916256158,0.52,117,108,1,202
stretch_nhe,isotonic,pre_ensemble,A_raw_oof_threshold,0.8309692740440369,0.9320087575259989,0.8748252563824314,0.18183128382403504,1.4549314471612516,0.22244906524027536,0.22244906524027525,0.31244556522542877,-3.0603380064410404,0.9950738916256158,0.7244444444444444,163,62,1,202
stretch_nhe,isotonic,pre_ensemble,B_calibrated_oof_threshold,0.8648648648648649,0.9320087575259989,0.8748252563824314,0.18183128382403504,1.4549314471612516,0.22244906524027536,0.22244906524027525,0.31244556522542877,-3.0603380064410404,0.9950738916256158,0.7333333333333333,165,60,1,202
stretch_nhe,isotonic,pre_ensemble,C_calibrated_half,0.5,0.9320087575259989,0.8748252563824314,0.18183128382403504,1.4549314471612516,0.22244906524027536,0.22244906524027525,0.31244556522542877,-3.0603380064410404,0.9950738916256158,0.5866666666666667,132,93,1,202
augment_manh,raw,post_ensemble,A_raw_oof_threshold,0.7969589332739512,0.9560591133004926,0.9461273007571409,0.19412223325689007,0.8951229035682605,0.2355715968690837,0.23557474955689753,0.6638158128269789,-3.303105336833514,0.9950738916256158,0.6755555555555556,152,73,1,202
augment_manh,raw,post_ensemble,B_calibrated_oof_threshold,0.7969589332739512,0.9560591133004926,0.9461273007571409,0.19412223325689007,0.8951229035682605,0.2355715968690837,0.23557474955689753,0.6638158128269789,-3.303105336833514,0.9950738916256158,0.6755555555555556,152,73,1,202
augment_manh,raw,post_ensemble,C_calibrated_half,0.5,0.9560591133004926,0.9461273007571409,0.19412223325689007,0.8951229035682605,0.2355715968690837,0.23557474955689753,0.6638158128269789,-3.303105336833514,0.9950738916256158,0.5866666666666667,132,93,1,202
augment_manh,raw,pre_ensemble,A_raw_oof_threshold,0.7969589332739512,0.9560591133004926,0.9461273007571409,0.19412223325689007,0.8951229035682605,0.2355715968690837,0.23557474955689753,0.6638158128269789,-3.303105336833514,0.9950738916256158,0.6755555555555556,152,73,1,202
augment_manh,raw,pre_ensemble,B_calibrated_oof_threshold,0.7969589332739512,0.9560591133004926,0.9461273007571409,0.19412223325689007,0.8951229035682605,0.2355715968690837,0.23557474955689753,0.6638158128269789,-3.303105336833514,0.9950738916256158,0.6755555555555556,152,73,1,202
augment_manh,raw,pre_ensemble,C_calibrated_half,0.5,0.9560591133004926,0.9461273007571409,0.19412223325689007,0.8951229035682605,0.2355715968690837,0.23557474955689753,0.6638158128269789,-3.303105336833514,0.9950738916256158,0.5866666666666667,132,93,1,202
augment_manh,temperature,post_ensemble,A_raw_oof_threshold,0.7969589332739512,0.9560591133004926,0.9461273007571409,0.1949280966705621,0.9196126766609175,0.2353216690890061,0.23532384752188604,0.6425057275740587,-3.3031607835114407,0.9950738916256158,0.6711111111111111,151,74,1,202
augment_manh,temperature,post_ensemble,B_calibrated_oof_threshold,0.8033391104367678,0.9560591133004926,0.9461273007571409,0.1949280966705621,0.9196126766609175,0.2353216690890061,0.23532384752188604,0.6425057275740587,-3.3031607835114407,0.9950738916256158,0.6755555555555556,152,73,1,202
augment_manh,temperature,post_ensemble,C_calibrated_half,0.5,0.9560591133004926,0.9461273007571409,0.1949280966705621,0.9196126766609175,0.2353216690890061,0.23532384752188604,0.6425057275740587,-3.3031607835114407,0.9950738916256158,0.5866666666666667,132,93,1,202
augment_manh,temperature,pre_ensemble,A_raw_oof_threshold,0.7969589332739512,0.9540010946907499,0.9436359392072258,0.1954585292969237,0.9228087305194046,0.2356295399770008,0.23563200647534543,0.6364225788984058,-3.2406399663332532,0.9950738916256158,0.6711111111111111,151,74,1,202
augment_manh,temperature,pre_ensemble,B_calibrated_oof_threshold,0.8033391104367678,0.9540010946907499,0.9436359392072258,0.1954585292969237,0.9228087305194046,0.2356295399770008,0.23563200647534543,0.6364225788984058,-3.2406399663332532,0.9950738916256158,0.68,153,72,1,202
augment_manh,temperature,pre_ensemble,C_calibrated_half,0.5,0.9540010946907499,0.9436359392072258,0.1954585292969237,0.9228087305194046,0.2356295399770008,0.23563200647534543,0.6364225788984058,-3.2406399663332532,0.9950738916256158,0.5777777777777777,130,95,1,202
augment_manh,intercept,post_ensemble,A_raw_oof_threshold,0.7969589332739512,0.9560591133004926,0.9461273007571409,0.2243726619277468,1.065107087396619,0.26961197331452474,0.26961358137113717,0.6638200681471356,-3.750034680264106,0.9950738916256158,0.6311111111111111,142,83,1,202
