feature,family,normal_domain_smd,normal_domain_smd_ci_low,normal_domain_smd_ci_high,normal_domain_ks,normal_domain_ks_p,normal_domain_auc,normal_domain_wasserstein_standardised,normal_domain_n_a,normal_domain_n_b,pneumonia_domain_smd,pneumonia_domain_smd_ci_low,pneumonia_domain_smd_ci_high,pneumonia_domain_ks,pneumonia_domain_ks_p,pneumonia_domain_auc,pneumonia_domain_wasserstein_standardised,pneumonia_domain_n_a,pneumonia_domain_n_b,class_auc_development,class_auc_benchmark,differential_smd,differential_auc,normal_domain_ks_p_holm,normal_domain_ks_p_bh,pneumonia_domain_ks_p_bh,passes_gate
margin_bottom_frac,geometry,0.007361579421745858,-0.115221543466219,0.13253855493752764,0.03903381642512077,0.9216036135313954,0.519427581806581,0.05585057934681148,1219,225,-0.056250171458448794,-0.0797012398486848,-0.032881974834973016,0.0024489795918367346,1.0,0.5012244897959184,0.04138804613543695,2450,203,0.52046742897323,0.5022222222222222,-0.048888592036702934,0.018203092010662614,1.0,0.9446437038696803,1.0,False
fg_box_height_frac,geometry,-0.007761292754820176,-0.13305975828650374,0.11500845203747537,0.03903381642512077,0.9216036135313954,0.519427581806581,0.05530589329118549,1219,225,0.06554452054992328,0.04727058232568261,0.08990553332202036,0.0069387755102040816,1.0,0.503469387755102,0.04822564646421523,2450,203,0.5181995948502451,0.5022222222222222,-0.05778322779510311,0.015958194051479024,1.0,0.9446437038696803,1.0,False
background_frac,geometry,-0.040822768345388664,-0.19107644167185714,0.11827964096528397,0.12279646340351837,0.00586770658398347,0.5191359037462401,0.3518949415221493,1219,225,0.021986448974078213,-0.1137491323867739,0.1600768457862781,0.061182266009852215,0.4647390889900029,0.5040112596762844,0.13166297281746392,2450,203,0.6333682677336726,0.6229009304871373,0.018836319371310452,0.015124644069955728,0.099751011927719,0.00925292192089701,0.5604206661350034,False
fg_occupancy,geometry,0.040822768345387866,-0.11827964096528715,0.19107644167185725,0.12279646340351837,0.00586770658398347,0.5191359037462401,0.3518949415221492,1219,225,-0.021986448974078834,-0.1600768457862769,0.11374913238677341,0.061182266009852215,0.4647390889900029,0.5040112596762842,0.13166297281746392,2450,203,0.6333682677336726,0.6229009304871373,0.018836319371309033,0.01512464406995584,0.099751011927719,0.00925292192089701,0.5604206661350034,False
fg_box_width_frac,geometry,-0.09725465148058245,-0.23945748042329076,0.052017446404645305,0.07140643514720627,0.27248027365998007,0.5163759001002644,0.13060805758460353,1219,225,0.4160194894384108,0.32127689349008237,0.4994147326243775,0.16913441238564392,3.699951724190171e-05,0.5832170503669448,0.32170082827013907,2450,203,0.819796253201855,0.9024302134646963,-0.3187648379578284,-0.06684115026668047,1.0,0.3019376005421401,0.0005056600689726567,False
fg_box_occupancy,geometry,-0.09623375817608404,-0.24226405413499771,0.052379560493570905,0.07772855710509526,0.18979296264625256,0.5147479719259866,0.13487765120103318,1219,225,0.41664741164828006,0.322679557844269,0.49907091460812963,0.17239971850809288,2.4185974695265227e-05,0.5848135116115412,0.32184228695430284,2450,203,0.8194093519278097,0.9024302134646963,-0.320413653472196,-0.07006553968555451,1.0,0.22232889909989584,0.0004958124812529371,False
skewness,photometry,-0.12437432990277411,-0.27090223075945613,0.035664418445444476,0.08076930088414912,0.15766387106675395,0.5112095524564761,0.2002042840096055,1219,225,0.13944148669845588,0.012850693505616394,0.2625530221712549,0.1156368754398311,0.012145884072606262,0.5248034583291444,0.18860530707249823,2450,203,0.6296244830992281,0.598336070060208,-0.015067156795681769,-0.013593905872668288,1.0,0.19012407981579152,0.041498437248071396,False
margin_top_frac,geometry,0.008147848965875103,-0.11528708069501033,0.13309357322348095,0.016884513717983777,0.9999999873844397,0.508402151125695,0.053672901341101864,1219,225,-0.07128413413170542,-0.09847645098985232,-0.052698641894778714,0.0069387755102040816,1.0,0.503469387755102,0.05244788985759644,2450,203,0.5071696439035006,0.5022222222222222,-0.06313628516583032,0.004932763370593007,1.0,0.9999999873844397,1.0,False
kurtosis,photometry,0.12785495308779438,-0.02651800070399081,0.2743890334829762,0.0927536231884058,0.07085292977117333,0.5071552274177377,0.25946560697104015,1219,225,-0.24998427893238964,-0.360100921409832,-0.13575535867874108,0.11287825475017593,0.015430088553012967,0.5398290941992561,0.22407709648958846,2450,203,0.5353575195459644,0.5137821565407772,-0.12212932584459527,-0.0326738667815184,0.6376763679405599,0.08802939759448808,0.04518811647668083,False
blockiness_norm256,quality,0.13580396698904612,-0.02533947710480893,0.2850889500612253,0.09774860997174369,0.04913452034390004,0.5069109470422022,0.4107667860004366,1219,225,0.1558817986869705,0.011614370996441633,0.30194614505294126,0.06327938071780437,0.4221891479264939,0.5267155926409972,0.163112461156034,2450,203,0.6476385796320169,0.5964313081554461,-0.020077831697924375,-0.019804645598795023,0.4913452034390004,0.06295360419062193,0.5409298457808204,False
intensity_p95,photometry,-0.029454742751119596,-0.17121983867906604,0.11916194120180426,0.05625375991249658,0.5626235916387352,0.5051390028256313,0.1185305359069486,1219,225,0.0130716346844339,-0.11878099948019666,0.15631840546722908,0.05344123856439127,0.6367772423589807,0.5035196541670856,0.08518300276693296,2450,203,0.6976625202993421,0.6960919540229885,0.016383108066685696,0.0016193486585457384,1.0,0.6070412436102144,0.7252185260199503,False
