experiment,feature,family,spearman_rho,spearman_p,cliffs_delta_fp_vs_tn,median_shift_fp_vs_tn,n_fp,n_tn,spearman_p_bh
augment_manh,near_black_frac,photometry,0.06962445724002171,0.2984271027841609,0.11247296322999278,0.01028040257400785,73,152,0.35986797688678224
augment_manh,near_white_frac,photometry,0.421359178296449,4.2580569829142545e-11,0.4612472963229992,0.00044196719963034994,73,152,2.4940048042783493e-10
augment_manh,laplacian_variance,quality,0.3635310595928464,1.955246889913002e-08,0.40573179524152847,23.886437817037752,73,152,8.907235831825898e-08
augment_manh,tenengrad,quality,0.40747545695083065,2.0696616599026556e-10,0.4565609228550829,330.44979261536776,73,152,1.060701600700111e-09
augment_manh,edge_density,quality,-0.03999528023350202,0.5506231686829787,-0.03388608507570301,0.0003747938586024513,73,152,0.5940934188421612
augment_manh,noise_estimate,quality,0.31263027424687856,1.7202268720785207e-06,0.3188536409516943,0.06998859094626031,73,152,7.0529301755219355e-06
augment_manh,unique_gray_levels,quality,0.11902060986624714,0.0747975462700012,0.06569935111751984,0.0,73,152,0.11358145915074257
augment_manh,file_size_bytes,quality,-0.47765459210629585,3.1736408921392676e-14,-0.5412761355443403,-82632.0,73,152,2.6023855315541997e-13
augment_manh,file_size_per_pixel,quality,0.25842565235232423,8.795664583000022e-05,0.2388248017303533,0.005971080126892903,73,152,0.00024041483193533393
augment_manh,hf_energy_frac_norm256,quality,0.4661543753446984,1.541559939184762e-13,0.536589762076424,0.024340342966264528,73,152,1.053399291776254e-12
augment_manh,blockiness_norm256,quality,-0.02233302904183999,0.7390051041044758,-0.06506849315068491,-0.002659582621805434,73,152,0.7574802317070877
stretch_manh,width,geometry,-0.4437508675664315,2.8414096388824885e-12,-0.5798132503334815,-372.0,52,173,2.912444879854551e-11
stretch_manh,height,geometry,-0.48662485545163714,8.872203878560267e-15,-0.6083815028901735,-380.0,52,173,3.6376035902097095e-13
stretch_manh,log_area,geometry,-0.47586782336063177,4.072826892518631e-14,-0.6033792796798576,-0.5324726915134832,52,173,8.349295129663193e-13
stretch_manh,aspect,geometry,0.412030874436828,1.2417931258012135e-10,0.4735437972432192,0.22353500727240627,52,173,1.0182703631569952e-09
stretch_manh,fg_box_width_frac,geometry,0.3171198355068523,1.1964207322495513e-06,0.41507336594041794,0.06273374342297011,52,173,3.7733269247870463e-06
stretch_manh,fg_box_height_frac,geometry,0.05143497153638626,0.44264423650859747,0.005780346820809248,0.0,52,173,0.5671379280266405
stretch_manh,fg_occupancy,geometry,0.33077714432002964,3.820729664738555e-07,0.30702534459759895,0.06561208092895077,52,173,1.4240901477661885e-06
stretch_manh,fg_box_occupancy,geometry,0.3181278451556343,1.1018479157916669e-06,0.416629613161405,0.06273374342297011,52,173,3.7646470456215284e-06
stretch_manh,margin_top_frac,geometry,-0.05143497153638626,0.44264423650859747,-0.005780346820809248,0.0,52,173,0.5671379280266405
stretch_manh,margin_bottom_frac,geometry,-0.05143497153638626,0.44264423650859747,-0.005780346820809248,0.0,52,173,0.5671379280266405
stretch_manh,margin_left_frac,geometry,-0.29611645577441,6.220238951948227e-06,-0.4613161405068919,-0.0148741418764302,52,173,1.7001986468658487e-05
stretch_manh,margin_right_frac,geometry,-0.3053291232656753,3.06612786917934e-06,-0.3574922187638951,-0.034313725490196,52,173,8.979374474025209e-06
stretch_manh,background_frac,geometry,-0.33077714432002964,3.820729664738555e-07,-0.30702534459759895,-0.06561208092895082,52,173,1.4240901477661885e-06
stretch_manh,centre_border_contrast,geometry,0.18110049573351017,0.006450872995858255,0.27189862160960426,7.892878385481879,52,173,0.012594561563342307
stretch_manh,corner_uniformity,geometry,0.1025848622971251,0.12496749473143182,0.17363272565584703,4.751897556123993,52,173,0.18976545496254463
stretch_manh,corner_mean,geometry,0.029390554883351707,0.6610256270969722,0.09848821698532678,2.7641611039897995,52,173,0.7132118608151542
stretch_manh,intensity_mean,photometry,0.13684320314117315,0.04027932115801592,0.14072921298354824,5.3350199460472965,52,173,0.06351739105687125
stretch_manh,intensity_std,photometry,-0.04496367728807274,0.5021962847322358,-0.07514450867052025,-0.9662247499609791,52,173,0.6239408386067171
stretch_manh,intensity_p1,photometry,-0.03739416373256782,0.5768556592277723,-0.042240995998221426,0.0,52,173,0.6757452008096761
stretch_manh,intensity_p5,photometry,-0.04275629503509749,0.523431935321299,0.017118719430858187,0.0,52,173,0.6311973337698017
stretch_manh,intensity_p25,photometry,0.17272542029999255,0.009431843997369726,0.20286794130724767,7.0,52,173,0.01681328712574603
stretch_manh,intensity_p50,photometry,0.18403928343141013,0.005624519525016989,0.16451756336149398,3.5,52,173,0.011530265026284826
stretch_manh,intensity_p75,photometry,0.1008548914960656,0.1314917162218273,0.07814584259670965,1.5,52,173,0.19254144161053283
stretch_manh,intensity_p95,photometry,-0.011284544304756693,0.8663230976419126,-0.02078701645175629,1.5,52,173,0.9107499231620108
stretch_manh,intensity_p99,photometry,-0.009378469275433579,0.8887417106303236,-0.030124499777679004,0.5,52,173,0.9109602533960818
stretch_manh,dynamic_range,photometry,0.03075408068023774,0.6463416294273637,0.010226767452201024,0.0,52,173,0.7132118608151542
stretch_manh,iqr,photometry,-0.1767589383730394,0.007870514337034814,-0.20086705202312138,-5.0,52,173,0.014667776719019426
stretch_manh,histogram_entropy,photometry,-0.18423260863496027,0.005573640961231792,-0.17607825700311253,-0.055721700768760485,52,173,0.011530265026284826
stretch_manh,skewness,photometry,-0.28490059255193456,1.4249048430637261e-05,-0.2636727434415296,-0.155173062322305,52,173,3.651318660350798e-05
stretch_manh,kurtosis,photometry,0.22703709810213762,0.0006002337903170276,0.2705646954201868,0.2891312895848883,52,173,0.0013671991890554518
stretch_manh,near_black_frac,photometry,0.07910718452759405,0.23726456995941558,0.07425522454424188,0.007019095213031359,52,173,0.33544301270124277
stretch_manh,near_white_frac,photometry,0.3590076259077412,3.008420695558598e-08,0.5073365940417964,0.00048472243294160004,52,173,1.762074978827179e-07
stretch_manh,laplacian_variance,quality,0.34392295824007496,1.2069318260786047e-07,0.575811471765229,46.39774857879694,52,173,5.498244985469199e-07
stretch_manh,tenengrad,quality,0.35575081950633136,4.0858544365060985e-08,0.578479324144064,376.5769783452646,52,173,2.0940003987093756e-07
stretch_manh,edge_density,quality,-0.15649344526624803,0.018833143254630133,-0.07180969319697644,-0.0010160042359176474,52,173,0.03217328639332648
stretch_manh,noise_estimate,quality,0.22935168002090184,0.0005254221105102458,0.44353045798132507,0.13298598886068924,52,173,0.0012671945018188282
stretch_manh,unique_gray_levels,quality,0.0330295334326184,0.6221412073364874,0.05958203646064916,0.0,52,173,0.708549708355444
stretch_manh,file_size_bytes,quality,-0.4553378926137234,6.464295536639887e-13,-0.5273454868830592,-72627.0,52,173,8.834537233407845e-12
stretch_manh,file_size_per_pixel,quality,0.1377745142090783,0.038926338448476996,0.2741218319253001,0.004873845613328362,52,173,0.06351739105687125
stretch_manh,hf_energy_frac_norm256,quality,0.37199292667136885,8.575446681866657e-09,0.48599377501111607,0.021173663416609645,52,173,5.859888565942215e-08
stretch_manh,blockiness_norm256,quality,0.0018104729300847714,0.9784550633208654,-0.0393508225878168,-0.0014357475744595227,52,173,0.9784550633208655
